"introductionPathway","category","subcategory","kingdom","freq","category_nl"
"contaminant > contaminant nursery material","contaminant","contaminant nursery material","Plantae",17,"TRANSPORTBESMETTING"
"contaminant > contaminant on animals (except parasites, species transported by host/vector)","contaminant","contaminant on animals (except parasites, species transported by host/vector)","Animalia",2,"TRANSPORTBESMETTING"
"contaminant > contaminant on animals (except parasites, species transported by host/vector)","contaminant","contaminant on animals (except parasites, species transported by host/vector)","Plantae",510,"TRANSPORTBESMETTING"
"contaminant > contaminant on plants (except parasites, species transported by host/vector)","contaminant","contaminant on plants (except parasites, species transported by host/vector)","Plantae",4,"TRANSPORTBESMETTING"
"contaminant > seed contaminant","contaminant","seed contaminant","Plantae",509,"TRANSPORTBESMETTING"
"contaminant > timber trade","contaminant","timber trade","Plantae",7,"TRANSPORTBESMETTING"
"contaminant > transportation of habitat material (soil, vegetation,…)","contaminant","transportation of habitat material (soil, vegetation,…)","Plantae",50,"TRANSPORTBESMETTING"
"corridor > interconnected waterways/basins/seas","corridor","interconnected waterways/basins/seas","Animalia",9,"CORRIDOR"
"corridor > to be determined by experts","corridor","to be determined by experts","Animalia",8,"CORRIDOR"
"escape > agriculture (including biofuel feedstocks)","escape","agriculture (including biofuel feedstocks)","Plantae",84,"ONTSNAPPING"
"escape > aquaculture / mariculture","escape","aquaculture / mariculture","Animalia",18,"ONTSNAPPING"
"escape > forestry (including afforestation or reforestation)","escape","forestry (including afforestation or reforestation)","Plantae",1,"ONTSNAPPING"
"escape > horticulture","escape","horticulture","Plantae",911,"ONTSNAPPING"
"escape > live food and live bait","escape","live food and live bait","Animalia",5,"ONTSNAPPING"
"escape > live food and live bait","escape","live food and live bait","Plantae",19,"ONTSNAPPING"
"escape > ornamental purpose other than horticulture","escape","ornamental purpose other than horticulture","Animalia",3,"ONTSNAPPING"
"escape > pet/aquarium/terrarium species (including live food for such species )","escape","pet/aquarium/terrarium species (including live food for such species )","Animalia",8,"ONTSNAPPING"
"escape > to be determined by experts","escape","to be determined by experts","Animalia",6,"ONTSNAPPING"
"escape > to be determined by experts","escape","to be determined by experts","Plantae",49,"ONTSNAPPING"
"release > biological control","release","biological control","Animalia",3,"UITZETTEN IN DE NATUUR"
"release > fishery in the wild (including game fishing)","release","fishery in the wild (including game fishing)","Animalia",4,"UITZETTEN IN DE NATUUR"
"release > to be determined by experts","release","to be determined by experts","Animalia",4,"UITZETTEN IN DE NATUUR"
"stowaway","stowaway","unknown","Plantae",9,"TRANSPORT VERSTEKELING"
"stowaway > angling/fishing equipment","stowaway","angling/fishing equipment","Animalia",1,"TRANSPORT VERSTEKELING"
"stowaway > other means of transport","stowaway","other means of transport","Plantae",1,"TRANSPORT VERSTEKELING"
"stowaway > people and their luggage/equipment (in particular tourism)","stowaway","people and their luggage/equipment (in particular tourism)","Plantae",3,"TRANSPORT VERSTEKELING"
"stowaway > ship/boat ballast water","stowaway","ship/boat ballast water","Animalia",2,"TRANSPORT VERSTEKELING"
"stowaway > to be determined by experts","stowaway","to be determined by experts","Animalia",46,"TRANSPORT VERSTEKELING"
"to be determined by experts","to be determined by experts","unknown","Animalia",89,"TE BEPALEN DOOR EXPERTEN"
"to be determined by experts","to be determined by experts","unknown","Plantae",63,"TE BEPALEN DOOR EXPERTEN"
"unaided > natural dispersal across borders of invasive alien species that have been introduced through pathways 1 to 5","unaided","natural dispersal across borders of invasive alien species that have been introduced through pathways 1 to 5","Animalia",3,"AUTONOME UITBREIDING"
"unknown","unknown","unknown","Animalia",2,"ONBEKEND"
"unknown","unknown","unknown","Plantae",271,"ONBEKEND"
